# Force coefficients
# liftDir      : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis    : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf      : 1.00000000e+00
# lRef         : 1.00000000e+00
# Aref         : 2.00000000e+00
# CofR         : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time         	Cm             	Cd             	Cl             	Cl(f)          	Cl(r)          
236            	-3.10238549e-04	1.06304803e+00	-1.21998594e-01	-6.13095354e-02	-6.06890583e-02
237            	-9.86611941e-04	1.06132290e+00	-1.32188662e-01	-6.70809428e-02	-6.51077190e-02
238            	-1.58404462e-03	1.06190556e+00	-1.33104951e-01	-6.81365200e-02	-6.49684307e-02
239            	-2.06507413e-03	1.06502747e+00	-1.25317021e-01	-6.47235846e-02	-6.05934363e-02
240            	-2.40280003e-03	1.06845072e+00	-1.08953659e-01	-5.68796297e-02	-5.20740297e-02
241            	-2.58044444e-03	1.07213126e+00	-8.49606494e-02	-4.50607692e-02	-3.98998803e-02
242            	-2.58442392e-03	1.07463594e+00	-5.42002298e-02	-2.96845388e-02	-2.45156910e-02
243            	-2.40921875e-03	1.07638658e+00	-1.89442560e-02	-1.18813468e-02	-7.06290928e-03
244            	-2.06043392e-03	1.07684599e+00	1.75066208e-02	6.69287645e-03	1.08137443e-02
245            	-1.55783098e-03	1.07490626e+00	5.24192466e-02	2.46517923e-02	2.77674543e-02
246            	-9.37907603e-04	1.07065414e+00	8.29741297e-02	4.05491572e-02	4.24249724e-02
247            	-2.49417942e-04	1.06557842e+00	1.07401025e-01	5.34510945e-02	5.39499304e-02
248            	4.53035678e-04	1.06222307e+00	1.24428021e-01	6.26670460e-02	6.17609747e-02
249            	1.11457731e-03	1.06089089e+00	1.32677539e-01	6.74533467e-02	6.52241920e-02
250            	1.68905261e-03	1.06209551e+00	1.31830621e-01	6.76043630e-02	6.42262578e-02
251            	2.14118641e-03	1.06553438e+00	1.22275554e-01	6.32789633e-02	5.89965905e-02
252            	2.44652988e-03	1.06894489e+00	1.04331603e-01	5.46123314e-02	4.97192716e-02
253            	2.58926833e-03	1.07259049e+00	7.89921313e-02	4.20853340e-02	3.69067973e-02
254            	2.55657242e-03	1.07475750e+00	4.70459673e-02	2.60795561e-02	2.09664112e-02
255            	2.34494828e-03	1.07631923e+00	1.13877843e-02	8.03884046e-03	3.34894389e-03
256            	1.96300169e-03	1.07615475e+00	-2.48588834e-02	-1.04664400e-02	-1.43924434e-02
