# Force coefficients
# liftDir      : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis    : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf      : 1.00000000e+00
# lRef         : 1.00000000e+00
# Aref         : 2.00000000e+00
# CofR         : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time         	Cm             	Cd             	Cl             	Cl(f)          	Cl(r)          
11.1           	-3.73443013e-03	2.31066277e+00	-3.91789344e-02	-2.33238974e-02	-1.58550371e-02
11.15          	-3.64888347e-03	2.30981732e+00	-3.92860586e-02	-2.32919128e-02	-1.59941458e-02
11.2           	-3.56298746e-03	2.30897888e+00	-3.94101558e-02	-2.32680654e-02	-1.61420904e-02
11.25          	-3.47677916e-03	2.30814417e+00	-3.95405807e-02	-2.32470695e-02	-1.62935112e-02
11.3           	-3.39030367e-03	2.30731565e+00	-3.97125659e-02	-2.32465866e-02	-1.64659793e-02
11.35          	-3.30359193e-03	2.30649594e+00	-3.98855145e-02	-2.32463492e-02	-1.66391653e-02
11.4           	-3.21668387e-03	2.30568021e+00	-4.00749335e-02	-2.32541506e-02	-1.68207829e-02
11.45          	-3.12961751e-03	2.30487471e+00	-4.02817314e-02	-2.32704832e-02	-1.70112482e-02
11.5           	-3.04242922e-03	2.30406855e+00	-4.05063496e-02	-2.32956040e-02	-1.72107456e-02
11.55          	-2.95515348e-03	2.30327143e+00	-4.07451700e-02	-2.33277385e-02	-1.74174315e-02
11.6           	-2.86782469e-03	2.30247972e+00	-4.09956966e-02	-2.33656730e-02	-1.76300236e-02
11.65          	-2.78048004e-03	2.30169907e+00	-4.12751660e-02	-2.34180630e-02	-1.78571030e-02
11.7           	-2.69314564e-03	2.30091695e+00	-4.15447999e-02	-2.34655456e-02	-1.80792543e-02
11.75          	-2.60586162e-03	2.30013457e+00	-4.18512966e-02	-2.35315099e-02	-1.83197867e-02
11.8           	-2.51865462e-03	2.29936675e+00	-4.21627261e-02	-2.36000177e-02	-1.85627084e-02
11.85          	-2.43155619e-03	2.29860178e+00	-4.24818694e-02	-2.36724909e-02	-1.88093785e-02
11.9           	-2.34460002e-03	2.29784668e+00	-4.28201578e-02	-2.37546789e-02	-1.90654789e-02
11.95          	-2.25781535e-03	2.29709518e+00	-4.31701870e-02	-2.38429089e-02	-1.93272782e-02
